id,name,worker_id,worker_name,status,started_at,completed_at,total_duration_ms,input_data,output_data,error_message,error_step,parent_pipeline_id,yaml_path
PIPE-02AC8538,viaje,None,worker,error,2026-04-23T00:48:58.945270,2026-04-23T00:48:58.950615,5.324,"{'marca': 'Toyota'; 'modelo': 'Corolla'; 'ano': 2020; 'color': 'Rojo'; 'nivel_gasolina': 'Medio'; 'nivel_aceite': 'Medio'; 'nivel_neumaticos': 'Medio'; 'extras': {'aire_acondicionado': True; 'radio': True; 'gps': True; 'asientos_calefaccionados': False; 'techo_solar': False}; 'non_serializable_obj': <InternalSystemHandler active>; '_pipeline_start_time': '2026-04-23T00:48:58.945136'}",{"pipeline_start_time": "2026-04-23T00:48:58.945136"; "pipeline_end_time": "2026-04-23T00:48:58.950445"; "pipeline_elapsed_time_ms": 5.316000000000001},Execution error: cannot access free variable 'copy' where it is not associated with a value in enclosing scope | Execution error: cannot access free variable 'copy' where it is not associated with a value in enclosing scope | Execution error: cannot access free variable 'copy' where it is not associated with a value in enclosing scope,<wpipe.pipe.pipe.For object at 0x7f1e2c360190>,None,/home/wisrovi/Documentos/w_libraries/wpipe/wpipe/pipeline_configs/viaje.yaml
PIPE-9E62DD00,viaje_tmp,None,worker,error,2026-04-23T00:47:55.581996,2026-04-23T00:47:55.601536,19.506,{"_pipeline_start_time": "2026-04-23T00:47:55.581810"},{"pipeline_start_time": "2026-04-23T00:47:55.581810"; "pipeline_end_time": "2026-04-23T00:47:55.601310"; "pipeline_elapsed_time_ms": 19.509999999999998},Execution error: Can't pickle <function start_capture at 0x7fd66d3118a0>: it's not the same object as __main__.start_capture | Execution error: Can't pickle <function start_capture at 0x7fd66d3118a0>: it's not the same object as __main__.start_capture | Execution error: Can't pickle <function start_capture at 0x7fd66d3118a0>: it's not the same object as __main__.start_capture,<wpipe.pipe.pipe.For object at 0x7fd62d64f250>,None,/home/wisrovi/Documentos/w_libraries/wpipe/wpipe/pipeline_configs/viaje_tmp.yaml
PIPE-2DAE51A0,viaje_tmp,None,worker,error,2026-04-23T00:47:49.634410,2026-04-23T00:47:49.637778,3.349,{"_pipeline_start_time": "2026-04-23T00:47:49.633123"},{"pipeline_start_time": "2026-04-23T00:47:49.633123"; "pipeline_end_time": "2026-04-23T00:47:49.637639"; "pipeline_elapsed_time_ms": 4.523},[Error Code: 502] 'NoneType' object has no attribute 'copy',<wpipe.pipe.pipe.For object at 0x7f300ca47250>,None,/home/wisrovi/Documentos/w_libraries/wpipe/wpipe/pipeline_configs/viaje_tmp.yaml
